"","V1","V2","V3","V4","V5","V6"
"389",2430,0.03,0.796875,1,0,NA
"390",2430,0.1,0.796875,1,0,NA
"391",2430,0.3,0.796875,1,0,NA
"392",2430,1,0.859375,1,0.307692307692308,0.511408311956759
"393",2430,3,0.9375,1,0.692307692307692,0.801222841635236
"394",2430,10,0.9375,1,0.692307692307692,0.801222841635236
"395",2430,30,0.9375,1,0.692307692307692,0.801222841635236
"396",2430,100,0.921875,1,0.615384615384615,0.748625113417631
"397",2440,0.01,0.796875,1,0,NA
"398",2440,0.03,0.796875,1,0,NA
"399",2440,0.1,0.796875,1,0,NA
"400",2440,0.3,0.796875,1,0,NA
"401",2440,1,0.859375,1,0.307692307692308,0.511408311956759
"402",2440,3,0.9375,1,0.692307692307692,0.801222841635236
"403",2440,10,0.9375,1,0.692307692307692,0.801222841635236
"404",2440,30,0.9375,1,0.692307692307692,0.801222841635236
"405",2440,100,0.921875,1,0.615384615384615,0.748625113417631
"406",2450,0.01,0.796875,1,0,NA
"407",2450,0.03,0.796875,1,0,NA
"408",2450,0.1,0.796875,1,0,NA
"409",2450,0.3,0.796875,1,0,NA
"410",2450,1,0.859375,1,0.307692307692308,0.511408311956759
"411",2450,3,0.9375,1,0.692307692307692,0.801222841635236
"412",2450,10,0.9375,1,0.692307692307692,0.801222841635236
"413",2450,30,0.9375,1,0.692307692307692,0.801222841635236
"414",2450,100,0.921875,1,0.615384615384615,0.748625113417631
"415",2460,0.01,0.796875,1,0,NA
"416",2460,0.03,0.796875,1,0,NA
"417",2460,0.1,0.796875,1,0,NA
"418",2460,0.3,0.796875,1,0,NA
"419",2460,1,0.84375,1,0.230769230769231,0.439247321371061
"420",2460,3,0.9375,1,0.692307692307692,0.801222841635236
"421",2460,10,0.9375,1,0.692307692307692,0.801222841635236
"422",2460,30,0.9375,1,0.692307692307692,0.801222841635236
"423",2460,100,0.921875,1,0.615384615384615,0.748625113417631
"424",2470,0.01,0.796875,1,0,NA
"425",2470,0.03,0.796875,1,0,NA
"426",2470,0.1,0.796875,1,0,NA
"427",2470,0.3,0.796875,1,0,NA
"428",2470,1,0.84375,1,0.230769230769231,0.439247321371061
"429",2470,3,0.9375,1,0.692307692307692,0.801222841635236
"430",2470,10,0.9375,1,0.692307692307692,0.801222841635236
"431",2470,30,0.9375,1,0.692307692307692,0.801222841635236
"432",2470,100,0.921875,1,0.615384615384615,0.748625113417631
"433",2480,0.01,0.796875,1,0,NA
"434",2480,0.03,0.796875,1,0,NA
"435",2480,0.1,0.796875,1,0,NA
"436",2480,0.3,0.796875,1,0,NA
"437",2480,1,0.84375,1,0.230769230769231,0.439247321371061
"438",2480,3,0.9375,1,0.692307692307692,0.801222841635236
"439",2480,10,0.9375,1,0.692307692307692,0.801222841635236
"440",2480,30,0.9375,1,0.692307692307692,0.801222841635236
"441",2480,100,0.921875,1,0.615384615384615,0.748625113417631
"442",2490,0.01,0.796875,1,0,NA
"443",2490,0.03,0.796875,1,0,NA
"444",2490,0.1,0.796875,1,0,NA
"445",2490,0.3,0.796875,1,0,NA
"446",2490,1,0.859375,1,0.307692307692308,0.511408311956759
"447",2490,3,0.9375,1,0.692307692307692,0.801222841635236
"448",2490,10,0.9375,1,0.692307692307692,0.801222841635236
"449",2490,30,0.9375,1,0.692307692307692,0.801222841635236
"450",2490,100,0.921875,1,0.615384615384615,0.748625113417631
"451",2500,0.01,0.796875,1,0,NA
"452",2500,0.03,0.796875,1,0,NA
"453",2500,0.1,0.796875,1,0,NA
"454",2500,0.3,0.796875,1,0,NA
"455",2500,1,0.859375,1,0.307692307692308,0.511408311956759
"456",2500,3,0.9375,1,0.692307692307692,0.801222841635236
"457",2500,10,0.9375,1,0.692307692307692,0.801222841635236
"458",2500,30,0.9375,1,0.692307692307692,0.801222841635236
"459",2500,100,0.921875,1,0.615384615384615,0.748625113417631
